Item_Number,Onderdeel,Lengte,Breedte,Dikte,Materiaal,Extra_Info
29,Plint,Dressing,V,963.5Massief_PM018x18PD,18 18,Page 10 of 360411_MO07202-7203_TV-wand (7-7)
30,Plint,Dressing,V,965Massief_PM018x18PD,18 18,
31,Plint,Dressing,V,966.5Massief_PM018x18PD,18 18,
32,AANV_L,315Massief_PM030x30ML,30,30,,
33,Achterpoot,249Massief_PM032x21OP,32,21,ZWART,
34,Plint,L,413Massief_PM032x21OP,32,21 ZWART,
35,Plint,R,413Massief_PM032x21OP,32,21 ZWART,
36,Plint,V,943Massief_PM032x21OP,32,21 ZWART,
37,OC_greep,1001.5MDF,19mm,AFQMxB,34 19 Profel_L_Greeplijst,
38,OC_greep,1003MDF,19mm,AFQMxB,34 19 Profel_L_Greeplijst,
39,OC_greep,1004.5MDF,19mm,AFQMxB,34 19 Profel_L_Greeplijst,
40,Rug,1001.5MDF,19mm,AFQMxB,60 19 profiel_L_greeplijst,
41,Rug,1003MDF,19mm,AFQMxB,60 19 profiel_L_greeplijst,
42,Rug,1004.5MDF,19mm,AFQMxB,60 19 profiel_L_greeplijst,Aantal onderdelen: 42 | Page 11 of 360411_MO07202-7203_TV-wand (7-7)
