page_number,item_number,onderdeel,materiaal,lengte,breedte,dikte,l1,l2,b1,b2,pro_methode,opmerkingen,source_line,is_te_bestellen
6,12,L_greep,MDF 19mm AFQMxB,1001.5,97,19,"Fineer eik
1mm","Fineer eik
1mm",,,,,"12 L_greep MDF 19mm AFQMxB 1001.5 97 19 Fineer eik
1mm Fineer eik
1mm   Afwerken_GR-Gannomat",False
6,18,L-greep,MDF 19mm AFQMxB,1466,120,19,"Fineer eik
1mm",,,,,,"18 L-greep MDF 19mm AFQMxB 1466 120 19 Fineer eik
1mm    1x 70mm breed, 1x 34mm breed",False
6,19,Paslat_Dik,MDF 23mm AFQMxB,2770,100,23,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,," Paslat_Dik MDF 23mm AFQMxB 2770 100 23 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm ",False
6,1,LZ,FineerPlaat,1,19,503,,,,,,,1 LZ FineerPlaat AFQMxB 19mm Int 503 469 19 Fineer eik Fineer eikFineer eik Borstellen,False
6,2,OC,,2,1000,469,,,,,,,2 OC 1000 469 19,False
6,3,RZ,FineerPlaat,3,19,503,,,,,,,3 RZ FineerPlaat AFQMxB 19mm Int 503 469 19 Fineer eikFineer eikFineer eik Borstellen,False
6,4,Bodem,MDF,4,13,935.5,,,,,,,4 Bodem MDF 13mm BxB 935.5 295 13,False
6,11,Valse,rug,11,13,622,,,,,,,11 Valse rug MDF 13mm BxB 622 467.667 13,False
6,12,L_greep,MDF,12,19,1001.5,,,,,Gannomat,,12 L_greep MDF 19mm AFQMxB 1001.5 97 19 Fineer eikFineer eik Afwerken_GR-Gannomat,False
6,18,L-greep,MDF,18,19,1466,,,,,,,"18 L-greep MDF 19mm AFQMxB 1466 120 19 Fineer eik 1x 70mm breed, 1x 34mm breed",False
6,19,Paslat_Dik,MDF,19,23,2770,,,,,,,19 Paslat_Dik MDF 23mm AFQMxB 2770 100 23 Fineer eikFineer eikFineer eikFineer eik,False
7,20,BB_01,MDF 31mm AFQMxB,387.5,416,31,"Fineer eik
1mm","Fineer eik
1mm",,"Fineer eik
1mm","Achteraf afsjangen, B=20mm overmaat",,"20 BB_01 MDF 31mm AFQMxB 387.5 416 31 Fineer eik
1mm Fineer eik
1mm  Fineer eik
1mm Achteraf afsjangen, B=20mm overmaat",False
7,1,BB_02,MDF 31mm AFQMxB,2641.5,416,31,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,," BB_02 MDF 31mm AFQMxB 2641.5 416 31 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm  ",False
7,22,Plank,MDF 31mm BxB,453,313,31,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,"22 Plank MDF 31mm BxB 453 313 31 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm ",False
7,3,RG,MDF 5mm BxB,1952,505,5,,,,,,, RG MDF 5mm BxB 1952 505 5     ,False
7,9,RG01,MDF 5mm BxB,1706,476.167,5,,,,,,, RG01 MDF 5mm BxB 1706 476.167 5     ,False
7,30,RG02,MDF 5mm BxB,1706,487.667,5,,,,,,,30 RG02 MDF 5mm BxB 1706 487.667 5     ,False
7,11,RG03,MDF 5mm BxB,1706,476.167,5,,,,,,, RG03 MDF 5mm BxB 1706 476.167 5     ,False
7,20,BB_01,MDF,20,01,31,,,,,,,"20 BB_01 MDF 31mm AFQMxB 387.5 416 31 Fineer eikFineer eik Fineer eik Achteraf afsjangen, B=20mm overmaat",False
7,21,BB_02,MDF,21,02,31,,,,,,,"21 BB_02 MDF 31mm AFQMxB 2641.5 416 31 Fineer eikFineer eikFineer eik Achteraf afsjangen, B=20mm overmaat",False
7,22,Plank,MDF,22,31,453,,,,,,,22 Plank MDF 31mm BxB 453 313 31 Fineer eikFineer eikFineer eikFineer eik,False
7,23,RG,MDF,23,5,1952,,,,,,,23 RG MDF 5mm BxB 1952 505 5,False
7,29,RG01,MDF,29,01,5,,,,,,,29 RG01 MDF 5mm BxB 1706 476.167 5,False
7,30,RG02,MDF,30,02,5,,,,,,,30 RG02 MDF 5mm BxB 1706 487.667 5,False
7,31,RG03,MDF,31,03,5,,,,,,,31 RG03 MDF 5mm BxB 1706 476.167 5,False
